"line_item_usage_type","line_item_product_code","line_item_line_item_type","pricing_unit","line_item_operation","product_region"
"APS3-RegistryAndShadowOperations","AWSIoT","Usage","Operations","UpdateThingShadow","ap-south-1"
"APN3-PDX1-AWS-In-Bytes","AmazonEC2","Usage","GB","PublicIP-In","ap-northeast-3"
"BoxUsage:c4.xlarge","ElasticMapReduce","Usage","Hrs","RunInstances","us-east-1"
"USW2-CloudFront-In-Bytes","AWSCloudShell","Usage","GB","CloudShell","us-west-2"
"APS3-PaidPrivateCA","AWSCertificateManager","Usage","CertificateAuthorities","CREATE_CERTIFICATE_AUTHORITY","ap-south-1"
"APN3-IAH1-AWS-In-Bytes","AmazonEC2","Usage","GB","PublicIP-In","ap-northeast-3"
"EUC1-Qwen3-235B-A22B-output-tokens","AmazonBedrock","Usage","1K tokens","InvokeModelInference","eu-central-1"
"USW2-USE2-AWS-In-Bytes","AmazonRDS","Usage","GB","CreateDBInstance:0016","us-west-2"
"USW1-EUS1-AWS-Out-Bytes","AWSLambda","Usage","GB","Invoke","us-west-1"
"APS2-APS1-AWS-In-Bytes","AmazonS3","Usage","GB","WriteBucketPublicAccessBlock","ap-southeast-2"
"USE2-LOS1-AWS-In-Bytes","AmazonVPC","Usage","GB","CreateVpnConnection","us-east-2"
"EUC1-InstanceUsage:db.m4.large","AmazonRDS","Usage","Hrs","CreateDBInstance:0020","eu-central-1"
"CPUCredits:db.t3","AmazonRDS","Usage","vCPU-Hours","CreateDBInstance:0010","us-east-1"
"DEL1-APS3-AWS-In-Bytes","AmazonEC2","Usage","GB","RunInstances","ap-south-1-del-1"
"USE1-APS3-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadBucketAbac","us-east-1"
"APN1-SpotUsage:g4dn.xlarge","AmazonEC2","Usage","Hrs","RunInstances:SV012","ap-northeast-1"
"APS1-BoxUsage:c6i.8xlarge","AmazonEC2","SavingsPlanCoveredUsage","Hrs","RunInstances","ap-southeast-1"
"APS3-LoadBalancerUsage","AmazonLightsail","Usage","Hrs","LoadBalancer","ap-south-1"
"EUC1-ExportPublicCertificate","ACM","Usage","API Call","EXPORT_CERTIFICATE","eu-central-1"
"APS1-InstanceUsage:db.m5.large","AmazonRDS","Usage","Hrs","CreateDBInstance:0012","ap-southeast-1"
"APS2-MSP1-AWS-Out-Bytes","AmazonECS","Usage","GB","FargateTask","ap-southeast-2"
"APN1-USE1-AWS-Out-Bytes","AWSDatabaseMigrationSvc","Usage","GB","Not Applicable","ap-northeast-1"
"APE1-DFW1-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-In","ap-east-1"
"NA-ZA-MRAP-Out-Bytes","AmazonS3","Usage","GB","GetObject","global"
"EUN1-APN2-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-In","eu-north-1"
"EU-DataTransfer-Regional-Bytes","AmazonFSx","Usage","GB","CreateFileSystem:OpenZFS","eu-west-1"
"ap-northeast-2-KMS-Requests","awskms","Usage","Requests","TagResource","ap-northeast-2"
"USE1-OutboundSMS-IN-Standard-Sharedroute-MessageFees","AmazonPinpoint","Usage","Dollar","SMS","us-east-1"
"APS1-AW-HW-1-AutoStop-User","AmazonWorkSpaces","Usage","Month","none","ap-southeast-1"
"APS1-EUC2-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-In","ap-southeast-1"
"USE1-USW2-AWS-Out-Bytes","AmazonVPC","Usage","GB","TGWPeering-Out","us-east-1"
"USE1-USW2WL1-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-In","us-east-1"
"EUC1-Studio:CodeEditor-ml.g4dn.2xlarge","AmazonSageMaker","Usage","Hrs","RunInstance","eu-central-1"
"APS1-Multi-AZUsage:db.t3.micro","AmazonRDS","Usage","Hrs","CreateDBInstance:0002","ap-southeast-1"
"USE2-USE1-AWS-Out-Bytes","AmazonVPC","Usage","GB","TGWPeering-Out","us-east-2"
